Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.31,2.572,NULL,NULL,NULL,NULL,NULL,211.096358,8.106,0
1,2010-02-12,38.51,2.548,NULL,NULL,NULL,NULL,NULL,211.242170,8.106,1
1,2010-02-19,39.93,2.514,NULL,NULL,NULL,NULL,NULL,211.289143,8.106,0
1,2010-02-26,46.63,2.561,NULL,NULL,NULL,NULL,NULL,211.319643,8.106,0
1,2010-03-05,46.50,2.625,NULL,NULL,NULL,NULL,NULL,211.350143,8.106,0
1,2010-03-12,57.79,2.667,NULL,NULL,NULL,NULL,NULL,211.380643,8.106,0
1,2010-03-19,54.58,2.720,NULL,NULL,NULL,NULL,NULL,211.215635,8.106,0
1,2010-03-26,51.45,2.732,NULL,NULL,NULL,NULL,NULL,211.018042,8.106,0
1,2010-04-02,62.27,2.719,NULL,NULL,NULL,NULL,NULL,210.820450,7.808,0
1,2010-04-09,65.86,2.770,NULL,NULL,NULL,NULL,NULL,210.622857,7.808,0
1,2010-04-16,66.32,2.808,NULL,NULL,NULL,NULL,NULL,210.488700,7.808,0
1,2010-04-23,64.84,2.795,NULL,NULL,NULL,NULL,NULL,210.439123,7.808,0
1,2010-04-30,67.41,2.780,NULL,NULL,NULL,NULL,NULL,210.389546,7.808,0
1,2010-05-07,72.55,2.835,NULL,NULL,NULL,NULL,NULL,210.339968,7.808,0
1,2010-05-14,74.78,2.854,NULL,NULL,NULL,NULL,NULL,210.337426,7.808,0
1,2010-05-21,76.44,2.826,NULL,NULL,NULL,NULL,NULL,210.617093,7.808,0
1,2010-05-28,80.44,2.759,NULL,NULL,NULL,NULL,NULL,210.896761,7.808,0
1,2010-06-04,80.69,2.705,NULL,NULL,NULL,NULL,NULL,211.176428,7.808,0
1,2010-06-11,80.43,2.668,NULL,NULL,NULL,NULL,NULL,211.456095,7.808,0
1,2010-06-18,84.11,2.637,NULL,NULL,NULL,NULL,NULL,211.453772,7.808,0
1,2010-06-25,84.34,2.653,NULL,NULL,NULL,NULL,NULL,211.338653,7.808,0
1,2010-07-02,80.91,2.669,NULL,NULL,NULL,NULL,NULL,211.223533,7.787,0
1,2010-07-09,80.48,2.642,NULL,NULL,NULL,NULL,NULL,211.108414,7.787,0
1,2010-07-16,83.15,2.623,NULL,NULL,NULL,NULL,NULL,211.100385,7.787,0
1,2010-07-23,83.36,2.608,NULL,NULL,NULL,NULL,NULL,211.235144,7.787,0
1,2010-07-30,81.84,2.640,NULL,NULL,NULL,NULL,NULL,211.369903,7.787,0
1,2010-08-06,87.16,2.627,NULL,NULL,NULL,NULL,NULL,211.504662,7.787,0
1,2010-08-13,87.00,2.692,NULL,NULL,NULL,NULL,NULL,211.639421,7.787,0
1,2010-08-20,86.65,2.664,NULL,NULL,NULL,NULL,NULL,211.603363,7.787,0
1,2010-08-27,85.22,2.619,NULL,NULL,NULL,NULL,NULL,211.567306,7.787,0
1,2010-09-03,81.21,2.577,NULL,NULL,NULL,NULL,NULL,211.531248,7.787,0
1,2010-09-10,78.69,2.565,NULL,NULL,NULL,NULL,NULL,211.495190,7.787,1
1,2010-09-17,82.11,2.582,NULL,NULL,NULL,NULL,NULL,211.522460,7.787,0
1,2010-09-24,80.94,2.624,NULL,NULL,NULL,NULL,NULL,211.597225,7.787,0
1,2010-10-01,71.89,2.603,NULL,NULL,NULL,NULL,NULL,211.671990,7.838,0
1,2010-10-08,63.93,2.633,NULL,NULL,NULL,NULL,NULL,211.746754,7.838,0
1,2010-10-15,67.18,2.720,NULL,NULL,NULL,NULL,NULL,211.813744,7.838,0
1,2010-10-22,69.86,2.725,NULL,NULL,NULL,NULL,NULL,211.861294,7.838,0
1,2010-10-29,69.64,2.716,NULL,NULL,NULL,NULL,NULL,211.908844,7.838,0
1,2010-11-05,58.74,2.689,NULL,NULL,NULL,NULL,NULL,211.956394,7.838,0
1,2010-11-12,59.61,2.728,NULL,NULL,NULL,NULL,NULL,212.003944,7.838,0
1,2010-11-19,51.41,2.771,NULL,NULL,NULL,NULL,NULL,211.889674,7.838,0
1,2010-11-26,64.52,2.735,NULL,NULL,NULL,NULL,NULL,211.748433,7.838,1
1,2010-12-03,49.27,2.708,NULL,NULL,NULL,NULL,NULL,211.607193,7.838,0
1,2010-12-10,46.33,2.843,NULL,NULL,NULL,NULL,NULL,211.465953,7.838,0
1,2010-12-17,49.84,2.869,NULL,NULL,NULL,NULL,NULL,211.405312,7.838,0
1,2010-12-24,52.33,2.886,NULL,NULL,NULL,NULL,NULL,211.405122,7.838,0
1,2010-12-31,48.43,2.943,NULL,NULL,NULL,NULL,NULL,211.404932,7.838,1
1,2011-01-07,48.27,2.976,NULL,NULL,NULL,NULL,NULL,211.404742,7.742,0
1,2011-01-14,35.40,2.983,NULL,NULL,NULL,NULL,NULL,211.457411,7.742,0
1,2011-01-21,44.04,3.016,NULL,NULL,NULL,NULL,NULL,211.827234,7.742,0
1,2011-01-28,43.83,3.010,NULL,NULL,NULL,NULL,NULL,212.197058,7.742,0
1,2011-02-04,42.27,2.989,NULL,NULL,NULL,NULL,NULL,212.566881,7.742,0
1,2011-02-11,36.39,3.022,NULL,NULL,NULL,NULL,NULL,212.936705,7.742,1
