Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,24924.50,0
1,1,2010-02-12,46039.49,1
1,1,2010-02-19,41595.55,0
1,1,2010-02-26,19403.54,0
1,1,2010-03-05,21827.90,0
1,1,2010-03-12,21043.39,0
1,1,2010-03-19,22136.64,0
1,1,2010-03-26,26229.21,0
1,1,2010-04-02,57258.43,0
1,1,2010-04-09,42960.91,0
1,1,2010-04-16,17596.96,0
1,1,2010-04-23,16145.35,0
1,1,2010-04-30,16555.11,0
1,1,2010-05-07,17413.94,0
1,1,2010-05-14,18926.74,0
1,1,2010-05-21,14773.04,0
1,1,2010-05-28,15580.43,0
1,1,2010-06-04,17558.09,0
1,1,2010-06-11,16637.62,0
1,1,2010-06-18,16216.27,0
1,1,2010-06-25,16328.72,0
1,1,2010-07-02,16333.14,0
1,1,2010-07-09,17688.76,0
1,1,2010-07-16,17150.84,0
1,1,2010-07-23,15360.45,0
1,1,2010-07-30,15381.82,0
1,1,2010-08-06,17508.41,0
1,1,2010-08-13,15536.40,0
1,1,2010-08-20,15740.13,0
1,1,2010-08-27,15793.87,0
1,1,2010-09-03,16241.78,0
1,1,2010-09-10,18194.74,1
1,1,2010-09-17,19354.23,0
1,1,2010-09-24,18122.52,0
1,1,2010-10-01,20094.19,0
1,1,2010-10-08,23388.03,0
1,1,2010-10-15,26978.34,0
1,1,2010-10-22,25543.04,0
1,1,2010-10-29,38640.93,0
1,1,2010-11-05,34238.88,0
1,1,2010-11-12,19549.39,0
1,1,2010-11-19,19552.84,0
1,1,2010-11-26,18820.29,1
1,1,2010-12-03,22517.56,0
1,1,2010-12-10,31497.65,0
1,1,2010-12-17,44912.86,0
1,1,2010-12-24,55931.23,0
1,1,2010-12-31,19124.58,1
1,1,2011-01-07,15984.24,0
1,1,2011-01-14,17359.70,0
1,1,2011-01-21,17341.47,0
1,1,2011-01-28,18461.18,0
1,1,2011-02-04,21665.76,0
1,1,2011-02-11,37887.17,1
1,1,2011-02-18,46845.87,0
1,1,2011-02-25,19363.83,0
1,1,2011-03-04,20327.61,0
1,1,2011-03-11,21280.40,0
1,1,2011-03-18,20334.23,0
1,1,2011-03-25,20881.10,0
1,1,2011-04-01,20398.09,0
1,1,2011-04-08,23873.79,0
1,1,2011-04-15,28762.37,0
1,1,2011-04-22,50510.31,0
1,1,2011-04-29,41512.39,0
1,1,2011-05-06,20138.19,0
1,1,2011-05-13,17235.15,0
1,1,2011-05-20,15136.78,0
1,1,2011-05-27,15741.60,0
1,1,2011-06-03,16434.15,0
1,1,2011-06-10,15883.52,0
1,1,2011-06-17,14978.09,0
1,1,2011-06-24,15682.81,0
1,1,2011-07-01,15363.50,0
1,1,2011-07-08,16148.87,0
1,1,2011-07-15,15654.85,0
1,1,2011-07-22,15766.60,0
1,1,2011-07-29,15922.41,0
1,1,2011-08-05,15295.55,0
1,1,2011-08-12,14539.79,0
1,1,2011-08-19,14689.24,0
1,1,2011-08-26,14537.37,0
1,1,2011-09-02,15277.27,0
1,1,2011-09-09,17746.68,1
1,1,2011-09-16,18535.48,0
1,1,2011-09-23,17859.30,0
1,1,2011-09-30,18337.68,0
1,1,2011-10-07,20797.58,0
1,1,2011-10-14,23077.55,0
1,1,2011-10-21,23351.80,0
1,1,2011-10-28,31579.90,0
1,1,2011-11-04,39886.06,0
1,1,2011-11-11,18689.54,0
1,1,2011-11-18,19050.66,0
1,1,2011-11-25,20911.25,1
1,1,2011-12-02,25293.49,0
1,1,2011-12-09,33305.92,0
1,1,2011-12-16,45773.03,0
1,1,2011-12-23,46788.75,0
1,1,2011-12-30,23350.88,1
1,1,2012-01-06,16567.69,0
1,1,2012-01-13,16894.40,0
1,1,2012-01-20,18365.10,0
1,1,2012-01-27,18378.16,0
1,1,2012-02-03,23510.49,0
1,1,2012-02-10,36988.49,1
1,1,2012-02-17,54060.10,0
1,1,2012-02-24,20124.22,0
1,1,2012-03-02,20113.03,0
1,1,2012-03-09,21140.07,0
1,1,2012-03-16,22366.88,0
1,1,2012-03-23,22107.70,0
1,1,2012-03-30,28952.86,0
1,1,2012-04-06,57592.12,0
1,1,2012-04-13,34684.21,0
1,1,2012-04-20,16976.19,0
1,1,2012-04-27,16347.60,0
1,1,2012-05-04,17147.44,0
1,1,2012-05-11,18164.20,0
1,1,2012-05-18,18517.79,0
1,1,2012-05-25,16963.55,0
1,1,2012-06-01,16065.49,0
1,1,2012-06-08,17666.00,0
1,1,2012-06-15,17558.82,0
1,1,2012-06-22,16633.41,0
1,1,2012-06-29,15722.82,0
1,1,2012-07-06,17823.37,0
1,1,2012-07-13,16566.18,0
1,1,2012-07-20,16348.06,0
1,1,2012-07-27,15731.18,0
1,1,2012-08-03,16628.31,0
1,1,2012-08-10,16119.92,0
1,1,2012-08-17,17330.70,0
1,1,2012-08-24,16286.40,0
1,1,2012-08-31,16680.24,0
1,1,2012-09-07,18322.37,1
1,1,2012-09-14,19616.22,0
1,1,2012-09-21,19251.50,0
1,1,2012-09-28,18947.81,0
1,1,2012-10-05,21904.47,0
1,1,2012-10-12,22764.01,0
1,1,2012-10-19,24185.27,0
1,1,2012-10-26,27390.81,0
1,2,2010-02-05,50605.27,0
1,2,2010-02-12,44682.74,1
1,2,2010-02-19,47928.89,0
1,2,2010-02-26,44292.87,0
1,2,2010-03-05,48397.98,0
1,2,2010-03-12,43751.94,0
1,2,2010-03-19,43615.49,0
1,2,2010-03-26,41892.55,0
1,2,2010-04-02,47450.50,0
1,2,2010-04-09,46549.73,0
1,2,2010-04-16,45025.02,0
1,2,2010-04-23,44418.11,0
1,2,2010-04-30,45971.30,0
1,2,2010-05-07,47903.01,0
1,2,2010-05-14,43675.61,0
1,2,2010-05-21,44319.15,0
1,2,2010-05-28,44619.52,0
1,2,2010-06-04,48754.47,0
1,2,2010-06-11,47089.54,0
1,2,2010-06-18,44428.71,0
1,2,2010-06-25,45299.92,0
1,2,2010-07-02,47077.72,0
1,2,2010-07-09,46752.12,0
1,2,2010-07-16,44339.20,0
1,2,2010-07-23,44763.33,0
1,2,2010-07-30,45833.77,0
1,2,2010-08-06,50031.73,0
1,2,2010-08-13,45475.69,0
1,2,2010-08-20,49754.17,0
1,2,2010-08-27,49623.53,0
1,2,2010-09-03,49015.05,0
1,2,2010-09-10,45182.50,1
1,2,2010-09-17,44681.64,0
1,2,2010-09-24,42477.49,0
1,2,2010-10-01,45829.02,0
1,2,2010-10-08,46387.54,0
1,2,2010-10-15,43110.79,0
1,2,2010-10-22,42371.48,0
1,2,2010-10-29,44081.33,0
1,2,2010-11-05,46381.43,0
1,2,2010-11-12,43194.49,0
1,2,2010-11-19,41443.25,0
1,2,2010-11-26,45681.98,1
1,2,2010-12-03,44405.02,0
1,2,2010-12-10,46955.82,0
1,2,2010-12-17,49303.28,0
1,2,2010-12-24,59889.32,0
1,2,2010-12-31,35819.83,1
1,2,2011-01-07,43202.29,0
1,2,2011-01-14,39857.40,0
1,2,2011-01-21,41596.99,0
1,2,2011-01-28,41651.01,0
1,2,2011-02-04,46829.12,0
1,2,2011-02-11,47595.35,1
1,2,2011-02-18,49202.06,0
1,2,2011-02-25,46165.25,0
1,2,2011-03-04,53035.54,0
1,2,2011-03-11,48465.72,0
1,2,2011-03-18,45222.30,0
1,2,2011-03-25,44293.54,0
1,2,2011-04-01,46991.58,0
1,2,2011-04-08,48501.79,0
1,2,2011-04-15,44464.74,0
1,2,2011-04-22,46544.56,0
1,2,2011-04-29,43682.41,0
1,2,2011-05-06,50139.92,0
1,2,2011-05-13,44274.15,0
1,2,2011-05-20,44302.11,0
1,2,2011-05-27,45072.11,0
1,2,2011-06-03,47844.27,0
1,2,2011-06-10,46363.93,0
1,2,2011-06-17,42939.63,0
1,2,2011-06-24,42415.81,0
1,2,2011-07-01,45247.74,0
1,2,2011-07-08,44623.23,0
1,2,2011-07-15,43260.96,0
1,2,2011-07-22,45113.56,0
1,2,2011-07-29,43191.02,0
1,2,2011-08-05,49359.75,0
1,2,2011-08-12,45341.92,0
1,2,2011-08-19,46391.12,0
1,2,2011-08-26,47659.93,0
1,2,2011-09-02,49419.75,0
1,2,2011-09-09,43315.85,1
1,2,2011-09-16,42963.96,0
1,2,2011-09-23,43390.94,0
1,2,2011-09-30,46045.09,0
1,2,2011-10-07,49880.69,0
1,2,2011-10-14,43306.38,0
1,2,2011-10-21,42487.67,0
1,2,2011-10-28,41682.40,0
1,2,2011-11-04,47313.62,0
1,2,2011-11-11,44936.47,0
1,2,2011-11-18,43997.78,0
1,2,2011-11-25,44259.59,1
1,2,2011-12-02,45928.14,0
1,2,2011-12-09,49357.43,0
1,2,2011-12-16,51137.42,0
1,2,2011-12-23,65615.36,0
1,2,2011-12-30,43539.94,1
1,2,2012-01-06,44481.38,0
1,2,2012-01-13,43353.09,0
1,2,2012-01-20,43753.43,0
1,2,2012-01-27,41556.23,0
1,2,2012-02-03,54322.24,0
1,2,2012-02-10,50581.06,1
1,2,2012-02-17,46085.47,0
1,2,2012-02-24,47080.12,0
1,2,2012-03-02,52608.51,0
1,2,2012-03-09,48563.69,0
1,2,2012-03-16,47346.32,0
1,2,2012-03-23,44796.03,0
1,2,2012-03-30,46529.68,0
1,2,2012-04-06,51805.88,0
1,2,2012-04-13,43991.18,0
1,2,2012-04-20,45561.85,0
1,2,2012-04-27,45456.23,0
1,2,2012-05-04,50501.30,0
1,2,2012-05-11,46717.76,0
1,2,2012-05-18,44411.23,0
1,2,2012-05-25,45817.07,0
1,2,2012-06-01,47425.29,0
1,2,2012-06-08,49439.58,0
1,2,2012-06-15,46637.48,0
1,2,2012-06-22,46075.00,0
1,2,2012-06-29,47629.14,0
1,2,2012-07-06,49771.92,0
1,2,2012-07-13,44411.95,0
1,2,2012-07-20,45108.22,0
1,2,2012-07-27,45008.22,0
1,2,2012-08-03,49424.06,0
1,2,2012-08-10,46729.91,0
1,2,2012-08-17,46350.97,0
1,2,2012-08-24,44972.52,0
1,2,2012-08-31,50995.50,0
1,2,2012-09-07,47344.50,1
1,2,2012-09-14,44493.61,0
1,2,2012-09-21,43541.07,0
1,2,2012-09-28,45784.76,0
1,2,2012-10-05,48577.08,0
1,2,2012-10-12,42112.67,0
1,2,2012-10-19,42354.72,0
1,2,2012-10-26,43134.88,0
1,3,2010-02-05,13740.12,0
1,3,2010-02-12,10887.84,1
1,3,2010-02-19,11523.47,0
1,3,2010-02-26,11135.17,0
1,3,2010-03-05,12275.58,0
1,3,2010-03-12,10123.45,0
1,3,2010-03-19,9001.37,0
1,3,2010-03-26,10366.85,0
1,3,2010-04-02,11157.08,0
1,3,2010-04-09,10179.29,0
1,3,2010-04-16,9226.80,0
1,3,2010-04-23,8868.93,0
1,3,2010-04-30,9337.44,0
1,3,2010-05-07,9372.80,0
1,3,2010-05-14,7919.86,0
1,3,2010-05-21,7813.91,0
1,3,2010-05-28,8412.69,0
1,3,2010-06-04,8001.41,0
1,3,2010-06-11,7742.75,0
1,3,2010-06-18,8201.06,0
1,3,2010-06-25,6591.22,0
1,3,2010-07-02,7857.88,0
1,3,2010-07-09,8112.67,0
1,3,2010-07-16,13751.30,0
1,3,2010-07-23,16930.62,0
1,3,2010-07-30,20915.95,0
1,3,2010-08-06,26719.02,0
1,3,2010-08-13,30640.54,0
1,3,2010-08-20,41101.93,0
1,3,2010-08-27,51159.17,0
1,3,2010-09-03,19081.80,0
1,3,2010-09-10,12134.69,1
1,3,2010-09-17,10722.46,0
1,3,2010-09-24,8097.92,0
1,3,2010-10-01,9775.17,0
1,3,2010-10-08,10081.80,0
1,3,2010-10-15,9735.73,0
1,3,2010-10-22,8614.41,0
1,3,2010-10-29,9283.09,0
1,3,2010-11-05,9825.22,0
1,3,2010-11-12,9146.77,0
1,3,2010-11-19,9202.11,0
1,3,2010-11-26,10706.81,1
1,3,2010-12-03,10856.85,0
1,3,2010-12-10,11219.78,0
1,3,2010-12-17,11986.84,0
1,3,2010-12-24,12080.36,0
1,3,2010-12-31,8266.14,1
1,3,2011-01-07,15808.15,0
1,3,2011-01-14,13275.87,0
1,3,2011-01-21,12532.94,0
1,3,2011-01-28,11983.34,0
1,3,2011-02-04,11012.52,0
1,3,2011-02-11,11428.25,1
1,3,2011-02-18,11724.98,0
1,3,2011-02-25,10473.78,0
1,3,2011-03-04,11039.12,0
1,3,2011-03-11,10689.97,0
1,3,2011-03-18,8148.69,0
1,3,2011-03-25,9049.02,0
1,3,2011-04-01,8734.19,0
1,3,2011-04-08,10417.33,0
1,3,2011-04-15,8212.97,0
1,3,2011-04-22,8468.72,0
1,3,2011-04-29,8653.62,0
1,3,2011-05-06,10420.92,0
1,3,2011-05-13,8732.46,0
1,3,2011-05-20,7939.01,0
